LOCATION,INDICATOR,TIME,Value
USA,GGNLEND,2010,-12.38000873
USA,GGNLEND,2011,-10.95599469
USA,GGNLEND,2012,-9.187067529
USA,GGNLEND,2013,-5.802407097
USA,GGNLEND,2014,-5.187102362
USA,GGNLEND,2015,-4.598510614
USA,GGNLEND,2016,-5.403228524
USA,GGNLEND,2017,-4.423228391
USA,GGNLEND,2018,-6.092950694
USA,GGNLEND,2019,-6.657911687
USA,GGNLEND,2020,-14.85997799
USA,GGNLEND,2021,-12.06433853
CHL,GGNLEND,2007,6.921488206
CHL,GGNLEND,2008,4.807175066
CHL,GGNLEND,2009,-4.660545556
CHL,GGNLEND,2010,-0.469195783
CHL,GGNLEND,2011,0.947324562
CHL,GGNLEND,2012,0.340495748
CHL,GGNLEND,2013,-0.607868197
CHL,GGNLEND,2014,-1.763850075
CHL,GGNLEND,2015,-2.295335531
CHL,GGNLEND,2016,-2.741895593
CHL,GGNLEND,2017,-2.925094208
CHL,GGNLEND,2018,-1.273130513
CHL,GGNLEND,2019,-3.436601857
CHL,GGNLEND,2020,-7.335301744
CHL,GGNLEND,2021,-7.341379985
EST,GGNLEND,2000,-0.06805317
EST,GGNLEND,2001,0.198938937
EST,GGNLEND,2002,0.418020653
EST,GGNLEND,2003,1.795429434
EST,GGNLEND,2004,2.394282507
EST,GGNLEND,2005,1.124896094
EST,GGNLEND,2006,2.89042688
EST,GGNLEND,2007,2.740630681
EST,GGNLEND,2008,-2.647721226
EST,GGNLEND,2009,-2.190795053
EST,GGNLEND,2010,0.189945086
EST,GGNLEND,2011,1.085310457
EST,GGNLEND,2012,-0.286883474
EST,GGNLEND,2013,0.180320389
EST,GGNLEND,2014,0.707793298
EST,GGNLEND,2015,0.113419562
EST,GGNLEND,2016,-0.411993616
EST,GGNLEND,2017,-0.475379009
EST,GGNLEND,2018,-0.552980985
EST,GGNLEND,2019,0.120656698
EST,GGNLEND,2020,-5.46878193
EST,GGNLEND,2021,-2.424875558
EST,GGNLEND,2022,-0.926994688
ISR,GGNLEND,2000,-0.781990627
ISR,GGNLEND,2001,-4.040110997
ISR,GGNLEND,2002,-8.209721856
ISR,GGNLEND,2003,-4.986184902
ISR,GGNLEND,2004,-3.383291938
ISR,GGNLEND,2005,-2.712338738
ISR,GGNLEND,2006,-0.915939876
ISR,GGNLEND,2007,-0.335995783
ISR,GGNLEND,2008,-3.48727933
ISR,GGNLEND,2009,-6.549081616
ISR,GGNLEND,2010,-3.72159531
ISR,GGNLEND,2011,-3.419709917
ISR,GGNLEND,2012,-4.412828021
ISR,GGNLEND,2013,-4.079264122
ISR,GGNLEND,2014,-2.284053964
ISR,GGNLEND,2015,-1.15980162
ISR,GGNLEND,2016,-1.692918101
ISR,GGNLEND,2017,-1.175804157
ISR,GGNLEND,2018,-3.587624855
ISR,GGNLEND,2019,-3.874740309
ISR,GGNLEND,2020,-10.75675291
ISR,GGNLEND,2021,-3.675388516
SVN,GGNLEND,2000,-3.644913557
SVN,GGNLEND,2001,-4.450412706
SVN,GGNLEND,2002,-2.374364719
SVN,GGNLEND,2003,-2.594669383
SVN,GGNLEND,2004,-1.940988602
SVN,GGNLEND,2005,-1.324159451
SVN,GGNLEND,2006,-1.230968552
SVN,GGNLEND,2007,-0.049011423
SVN,GGNLEND,2008,-1.393777919
SVN,GGNLEND,2009,-5.812920258
SVN,GGNLEND,2010,-5.599672951
SVN,GGNLEND,2011,-6.629343863
SVN,GGNLEND,2012,-3.994701495
SVN,GGNLEND,2013,-14.57865118
SVN,GGNLEND,2014,-5.507184776
SVN,GGNLEND,2015,-2.847476978
SVN,GGNLEND,2016,-1.919110452
SVN,GGNLEND,2017,-0.052986027
SVN,GGNLEND,2018,0.743498562
SVN,GGNLEND,2019,0.715944117
SVN,GGNLEND,2020,-7.652106602
SVN,GGNLEND,2021,-4.61618309
SVN,GGNLEND,2022,-3.016062058
LVA,GGNLEND,2000,-2.723597181
LVA,GGNLEND,2001,-1.94539743
LVA,GGNLEND,2002,-2.319670868
