location,INDICATOR,TIME,Value
LVA,TAXREV,2006,28.577
LVA,TAXREV,2007,28.195
LVA,TAXREV,2008,27.815
LVA,TAXREV,2009,28.067
LVA,TAXREV,2010,28.54
LVA,TAXREV,2011,29.134
LVA,TAXREV,2012,29.111
LVA,TAXREV,2013,29.43
LVA,TAXREV,2014,29.715
LVA,TAXREV,2015,29.79
LVA,TAXREV,2016,30.73
LVA,TAXREV,2017,31.091
LVA,TAXREV,2018,31.052
LVA,TAXREV,2019,30.938
LVA,TAXREV,2020,31.764
LVA,TAXREV,2021,31.215
LTU,TAXREV,2000,30.822
LTU,TAXREV,2001,29.357
LTU,TAXREV,2002,29.028
LTU,TAXREV,2003,28.663
LTU,TAXREV,2004,29.025
LTU,TAXREV,2005,29.234
LTU,TAXREV,2006,30.165
LTU,TAXREV,2007,30.061
LTU,TAXREV,2008,30.611
LTU,TAXREV,2009,30.214
LTU,TAXREV,2010,28.285
LTU,TAXREV,2011,27.166
LTU,TAXREV,2012,26.919
LTU,TAXREV,2013,26.905
LTU,TAXREV,2014,27.477
LTU,TAXREV,2015,28.942
LTU,TAXREV,2016,29.656
LTU,TAXREV,2017,29.61
LTU,TAXREV,2018,30.239
LTU,TAXREV,2019,30.274
LTU,TAXREV,2020,30.819
LTU,TAXREV,2021,32.786
COL,TAXREV,2000,15.683
COL,TAXREV,2001,17.328
COL,TAXREV,2002,17.153
COL,TAXREV,2003,17.292
COL,TAXREV,2004,17.969
COL,TAXREV,2005,18.259
COL,TAXREV,2006,19.267
COL,TAXREV,2007,19.299
COL,TAXREV,2008,19.032
COL,TAXREV,2009,18.817
